N,UNIVERSIDAD,DEPARTAMENTO,PROVINCIA,DISPOSITIVO LEGAL DE CREACIÓN,FECHA DE CREACIÓN,DISPOSITIVO LEGAL DE LICENCIAMIENTO,FECHA DE PUB. DIARIO EL PERUANO,TIPO
1,Universidad Nacional Mayor de San Marcos,LIMA,Lima,Real Cédula de Fundación,12/05/1551,Res. N° 036-2018-SUNEDU/CD,04/04/2018,NACIONAL
2,Universidad Nacional de San Cristóbal de Huamanga,AYACUCHO,Huamanga,Ley N° 12828,03/07/1677,Res. N° 050-2018-SUNEDU/CD,01/06/2018,NACIONAL
3,Universidad Nacional de San Antonio Abad del Cusco,CUSCO,Cusco,Real Cédula de Fundación,01/06/1692,Res. N° 059-2019-SUNEDU/CD,04/05/2019,NACIONAL
4,Universidad Nacional de Trujillo,LA LIBERTAD,Trujillo,Decreto Directoral,10/05/1824,Res. N° 127-2018-SUNEDU/CD,20/09/2018,NACIONAL
5,Universidad Nacional de San Agustín de Arequipa,AREQUIPA,Arequipa,Acta de Instalación,11/11/1828,Res. N° 098-2018-SUNEDU/CD,27/08/2018,NACIONAL
6,Universidad Nacional de Ingeniería,LIMA,Lima,Ley N° 12379,19/07/1955,Res. N° 073-2017-SUNEDU/CD,28/11/2017,NACIONAL
7,Universidad Nacional Agraria La Molina,LIMA,Lima,Ley N° 13417,08/04/1960,Res. N° 011-2017-SUNEDU/CD,20/03/2017,NACIONAL
8,Universidad Nacional San Luis Gonzaga,ICA,Ica,Ley N° 12495,20/12/1955,,,NACIONAL
9,Universidad Nacional del Centro del Perú,JUNIN,Huancayo,Ley N° 13827,02/01/1962,Res. N° 022-2019-SUNEDU/CD,01/03/2019,NACIONAL
10,Universidad Nacional de la Amazonía Peruana,LORETO,Maynas,Ley N° 13498,14/01/1961,Res. N° 012-2019-SUNEDU/CD,01/02/2019,NACIONAL
11,Universidad Nacional del Altiplano,PUNO,Puno,Ley N° 13516,10/02/1961,Res. N° 101-2017-SUNEDU/CD,30/12/2017,NACIONAL
12,Universidad Nacional de Piura,PIURA,Piura,Ley N° 13531,03/03/1961,Res. N° 058-2019-SUNEDU/CD,07/05/2019,NACIONAL
13,Universidad Nacional de Cajamarca,CAJAMARCA,Cajamarca,Ley N° 14015,13/02/1962,Res. N° 080-2018-SUNEDU/CD,17/07/2018,NACIONAL
14,Universidad Nacional Federico Villarreal,LIMA,Lima,Ley N° 14692,30/10/1963,,,NACIONAL
15,Universidad Nacional Agraria de la Selva,HUANUCO,Leoncio Prado,Ley N° 14912,20/02/1964,Res. N° 114-2019-SUNEDU/CD,29/08/2019,NACIONAL
16,Universidad Nacional Hermilio Valdizán de Huánuco,HUANUCO,Huánuco,Ley N° 14915,20/02/1964,Res. N° 099-2019-SUNEDU/CD,26/07/2019,NACIONAL
17,Universidad Nacional de Educación Enrique Guzmán y Valle,LIMA,Lima,Ley N° 15519,07/04/1965,,,NACIONAL
18,Universidad Nacional Daniel Alcides Carrión,PASCO,Pasco,Ley N° 15527,23/04/1965,Res. N° 111-2019-SUNEDU/CD,22/08/2019,NACIONAL
19,Universidad Nacional del Callao,CALLAO,Callao,Ley N° 16225,02/09/1966,,,NACIONAL
20,Universidad Nacional José Faustino Sánchez Carrión,LIMA,Huaura,Decreto Ley N° 17358,31/12/1968,,,NACIONAL
21,Universidad Nacional Pedro Ruiz Gallo,LAMBAYEQUE,Lambayeque,Decreto Ley N° 18179,17/03/1970,,,NACIONAL
22,Universidad Nacional Jorge Basadre Grohmann,TACNA,Tacna,Decreto Ley N° 18942,26/08/1971,Res. N° 056-2018-SUNEDU/CD,13/06/2018,NACIONAL
23,Universidad Nacional Santiago Antúnez de Mayolo,ANCASH,Huaraz,Decreto Ley N° 21856,24/05/1977,Res. N° 173-2018-SUNEDU/CD,01/01/2018,NACIONAL
24,Universidad Nacional de San Martín,SAN MARTIN,San Martín,Decreto Ley N° 22803,18/12/1979,Res. N° 055-2019-SUNEDU/CD,01/05/2019,NACIONAL
25,Universidad Nacional de Ucayali,UCAYALI,Coronel Portillo,Decreto Ley N° 22804,18/12/1979,Res. N° 149-2018-SUNEDU/CD,15/11/2018,NACIONAL
26,Universidad Nacional de Tumbes,TUMBES,Tumbes,Ley N° 23881,23/06/1984,,,NACIONAL
27,Universidad Nacional del Santa,ANCASH,Santa,Ley N° 24035,20/12/1984,Res. N° 028-2019-SUNEDU/CD,12/03/2019,NACIONAL
28,Universidad Nacional de Huancavelica,HUANCAVELICA,Huancavelica,Ley N° 25265,20/06/1990,Res. N° 086-2019-SUNEDU/CD,03/07/2019,NACIONAL
29,Universidad Nacional Amazónica de Madre de Dios,MADRE DE DIOS,Tambopata,Ley N° 27297,06/07/2000,,,NACIONAL
30,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,AMAZONAS,Chachapoyas,Ley N° 27347,19/09/2000,Res. N° 033-2017-SUNEDU/CD,17/09/2017,NACIONAL
31,Universidad Nacional Micaela Bastidas de Apurímac,APURIMAC,Abancay,Ley N° 27348,27/09/2000,,,NACIONAL
32,Universidad Nacional Intercultural de la Amazonía,UCAYALI,Coronel Portillo,Ley N° 27250,05/01/2000,Res. N° 131-2018-SUNEDU/CD,27/09/2018,NACIONAL
33,Universidad Nacional Tecnológica de Lima Sur (*1),LIMA,Lima,Ley N° 27413,01/02/2001,Res. N° 059-2018-SUNEDU/CD,21/06/2018,NACIONAL
34,Universidad Nacional José María Arguedas,APURIMAC,Andahuaylas,Ley N° 28372,01/11/2004,Res. N° 035-2017-SUNEDU/CD,02/10/2017,NACIONAL
35,Universidad Nacional de Moquegua,MOQUEGUA,Mariscal Nieto,Ley N° 28520,24/05/2005,Res. N° 103-2017-SUNEDU/CD,06/01/2018,NACIONAL
36,Universidad Nacional de Juliaca,PUNO,San Román,Ley N° 29074,25/07/2007,Res. N° 097-2018-SUNEDU/CD,26/08/2018,NACIONAL
37,Universidad Nacional de Jaén,CAJAMARCA,Jaén,Ley N° 29304,20/12/2008,Res. N° 002-2018-SUNEDU/CD,14/01/2018,NACIONAL
38,Universidad Nacional de Frontera,PIURA,Sullana,Ley N° 29568,06/08/2010,Res. N° 086-2019-SUNEDU/CD,06/04/2019,NACIONAL
39,Universidad Nacional Autónoma de Chota,CAJAMARCA,Chota,Ley N° 29531,12/05/2010,Res. N° 160-2018-SUNEDU/CD,08/12/2018,NACIONAL
40,Universidad Nacional de Barranca,LIMA,Barranca,Ley N° 29553,07/07/2010,Res. N° 047-2018-SUNEDU/CD,24/05/2018,NACIONAL
41,Universidad Nacional de Cañete,LIMA,Cañete,Ley N° 29488,23/12/2009,Res. N° 116-2018-SUNEDU/CD,12/09/2018,NACIONAL
42,Universidad Nacional Intercultural Fabiola Salazar Leguía de Bagua,AMAZONAS,Bagua,Ley N° 29614,18/11/2010,Res. N° 095-2018-SUNEDU/CD,"14,/08/018",NACIONAL
43,Universidad Nacional Intercultural de la Selva Central Juan Santos Atahualpa,JUNIN,Chanchamayo,Ley N° 29616,19/11/2010,Res. N° 033-2018-SUNEDU/CD,23/03/2018,NACIONAL
44,Universidad Nacional Intercultural de Quillabamba,CUSCO,La Convención,Ley N° 29620,01/12/2010,Res. N° 085-2019-SUNEDU/CD,02/07/2019,NACIONAL
45,Universidad Nacional Autónoma de Alto Amazonas,LORETO,Alto Amazonas,Ley N° 29649,11/01/2011,Res. N° 062-2018-SUNEDU/CD,29/06/2018,NACIONAL
46,Universidad Nacional Autónoma Altoandina de Tarma,JUNIN,Tarma,Ley N° 29652,14/01/2011,Res. N° 142-2018-SUNEDU/CD,19/10/2018,NACIONAL
47,Universidad Nacional Autónoma de Huanta,AYACUCHO,Huanta,Ley N° 29658,28/01/2011,Res. N° 014-2017-SUNEDU/CD,19/04/2017,NACIONAL
48,Universidad Nacional Tecnológica de San Juan de Lurigancho,LIMA,Lima,Ley N° 29659,28/01/2011,,,NACIONAL
49,Universidad Autónoma Municipal de Los Olivos,LIMA,Lima,Ley N° 29668,10/03/2011,,,NACIONAL
50,Universidad Nacional Autónoma de Tayacaja Daniel Hernández Morillo,HUANCAVELICA,Tayacaja,Ley N° 29716,23/06/2011,Res. N° 016-2019-SUNEDU/CD,15/02/2019,NACIONAL
51,Universidad Nacional Ciro Alegría,LA LIBERTAD,Sanchez Carrión,Ley N° 29756,17/07/2011,,,NACIONAL
52,Pontificia Universidad Católica del Perú,LIMA,Lima,Decreto Supremo,24/03/1917,Res. N° 025-2016-SUNEDU/CD,06/07/2016,PRIVADA
53,Universidad Peruana Cayetano Heredia,LIMA,Lima,Decreto Supremo N° 18,22/09/1961,Res. N° 029-2016-SUNEDU/CD,27/07/2016,PRIVADA
54,Universidad Católica de Santa María,AREQUIPA,Arequipa,Decreto Supremo N° 24,06/12/1961,Res. N° 102-2017-SUNEDU/CD,31/12/2017,PRIVADA
55,Universidad del Pacífico,LIMA,Lima,Decreto Supremo N° 08,28/02/1962,Res. N° 030-2016-SUNEDU/CD,27/07/2016,PRIVADA
56,Universidad de Lima,LIMA,Lima,Decreto Supremo N° 23,25/04/1962,Res. N° 027-2016-SUNEDU/CD,12/07/2016,PRIVADA
57,Universidad de San Martín de Porres,LIMA,Lima,Decreto Supremo N° 26,17/05/1962,Res. N° 024-2017-SUNEDU/CD,11/08/2017,PRIVADA
58,Universidad Femenina del Sagrado Corazón,LIMA,Lima,Decreto Supremo N° 71,24/12/1962,Res. N° 039-2016-SUNEDU/CD,15/12/2016,PRIVADA
59,Universidad Inca Garcilaso de la Vega,LIMA,Lima,Decreto Supremo N° 74,21/12/1964,,,PRIVADA
60,Universidad de Piura,PIURA,Piura,Ley N° 17040,02/06/1968,Res. N° 003-2017-SUNEDU/CD,27/01/2017,PRIVADA
61,Universidad Ricardo Palma,LIMA,Lima,Decreto Ley N° 17723,01/07/1969,Res. N° 040-2016-SUNEDU/CD,31/12/2016,PRIVADA
62,Universidad Andina Néstor Cáceres Velásquez,PUNO,San Román,Ley N° 23738,29/12/1983,,,PRIVADA
63,Universidad Peruana Los Andes,JUNIN,Huancayo,Ley N° 23757,30/12/1983,,,PRIVADA
64,Universidad Peruana Unión,LIMA,Lima,Ley N° 23758,30/12/1983,Res. N° 054-2018-SUNEDU/CD,07/06/2018,PRIVADA
65,Universidad Andina del Cusco,CUSCO,Cusco,Ley N° 23837,23/05/1984,Res. N° 098-2017-SUNEDU/CD,23/12/2017,PRIVADA
66,Universidad Tecnológica de los Andes,APURIMAC,Abancay,Ley N° 23852,07/06/1984,,,PRIVADA
67,Universidad Privada de Tacna,TACNA,Tacna,Ley N° 24060,09/01/1985,Res. N° 074-2017-SUNEDU/CD,30/11/2017,PRIVADA
68,Universidad Particular de Chiclayo,LAMBAYEQUE,Chiclayo,Ley N° 24086,11/01/1985,Res. N° 098-2019-SUNEDU/CD,25/07/2019,PRIVADA
69,Universidad San Pedro (*1),ANCASH,Santa,Ley N° 24871,25/06/1988,,,PRIVADA
70,Universidad Privada Antenor Orrego,LA LIBERTAD,Trujillo,Ley N° 24879,27/07/1988,Res. N° 035-2018-SUNEDU/CD,29/03/2018,PRIVADA
71,Universidad de Huánuco,HUANUCO,Huánuco,Ley N° 25049,20/06/1989,Res. N° 076-2019-SUNEDU/CD,06/06/2019,PRIVADA
72,Universidad José Carlos Mariátegui (*2),MOQUEGUA,Mariscal Nieto,Ley N° 25153,24/12/1989,,,PRIVADA
73,Universidad Marcelino Champagnat,LIMA,Lima,Ley N° 25180,05/01/1990,Res. N° 041-2017-SUNEDU/CD,12/10/2017,PRIVADA
