DEPARTAMENTO,1940,1961,1972,1981,1993,2007,2017
AMAZONAS,65137,118439,194472,254560,336665,375993,379384
ANCASH,428467,586214,732092,826399,955023,1063459,1083519
APURIMAC,258094,288223,308613,323346,381997,404190,405759
AREQUIPA,263077,388881,529566,706580,916806,1152303,1382730
AYACUCHO,358991,410772,457441,503392,492507,612489,616176
CAJAMARCA,482431,731256,902912,1026444,1259808,1387809,1341012
CALLAO,82287,213540,321231,443413,639729,876877,994494
CUSCO,486592,611972,715237,832504,1028763,1171403,1205527
HUANCAVELICA,244595,302817,331629,346797,385162,454797,347639
HUANUCO,229268,323246,409514,477877,654489,762223,721047
ICA,140898,255930,357247,433897,565686,711932,850765
JUNIN,338502,521210,696641,852238,1035841,1225474,1246038
LA LIBERTAD,395233,597925,799977,982074,1270261,1617050,1778080
LAMBAYEQUE,192890,342446,514602,674442,920795,1112868,1197260
LIMA,828298,2031051,3472564,4745877,6386308,8445211,9485405
LORETO,152457,272933,375007,482829,687282,891732,883510
MADRE DE DIOS,4950,14890,21304,33007,67008,109555,141070
MOQUEGUA,34152,51614,74470,101610,128747,161533,174863
PASCO,91617,140426,175657,211918,226295,280449,254065
PIURA,408605,668941,854972,1125865,1388264,1676315,1856809
PUNO,548371,686260,776173,890258,1079849,1268441,1172697
SAN MARTIN,94843,161763,224427,319751,552387,728808,813381
TACNA,36349,66024,95444,143085,218353,288781,329332
TUMBES,25709,55812,76515,103839,155521,200306,224863
UCAYALI,16154,64161,120501,163208,314810,432159,496459
